Number,Name,Age,Team,Time,Points,evento,evento_short
12,"Soto, Maximo",16,Piscinas Barriales DE Salto,"1:36,67",,       Nombre                                                                                    Equipo                                                                                                   Tiempo de FinalesEdad                                                                  Puntos,       Nombre           
13,"Hartwich, Ian",16,Nadadores DE Young,"1:38,68",,       Nombre                                                                                    Equipo                                                                                                   Tiempo de FinalesEdad                                                                  Puntos,       Nombre           
14,"Indarte, Diego",17,Nadadores DE Young                                           x,"1:44,18",,       Nombre                                                                                    Equipo                                                                                                   Tiempo de FinalesEdad                                                                  Puntos,       Nombre           
---,"Morales, Tomas",16,Club Atletico Esparta,DQ,,       Nombre                                                                                    Equipo                                                                                                   Tiempo de FinalesEdad                                                                  Puntos,       Nombre           
---,"Quincke, Bautista",18,Centro Sportivo Laureles,DQ,,       Nombre                                                                                    Equipo                                                                                                   Tiempo de FinalesEdad                                                                  Puntos,       Nombre           
---,"Alvarez, Bruno",16,Club Atletico Esparta,DQ,,       Nombre                                                                                    Equipo                                                                                                   Tiempo de FinalesEdad                                                                  Puntos,       Nombre           
